Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
60,2.0,0.0,0.0,1046.0,20.0,51.0,2896.0,0.1,39.004999999999995,0.0,0.0,480.7050323486328,,,,,,,,,,,,,,,,,,,,,15.912924775365703,12.921686701513035,38.269942451416725,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,3.0,0.0,0.0,34.0,1.0,34.0,2930.0,0.1,20.506000000000014,0.0,0.0,585.0772125720978,,,,,,,,,,,,,,,,,,,,,7.160298496928057,7.101189766389762,20.303135819607846,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,3.0,0.0,0.0,61.0,2.0,27.0,2957.0,0.1,14.504999999999995,0.0,0.0,588.2327337265015,,,,,,,,,,,,,,,,,,,,,4.831133658575067,5.072420730507894,14.403351691249282,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,3.0,0.0,0.0,96.0,3.0,35.0,2992.0,0.1,16.30700000000001,0.0,0.0,592.0188930034637,,,,,,,,,,,,,,,,,,,,,4.807039930046696,5.449335404678767,16.17107959054988,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,3.0,0.0,0.0,232.0,4.0,136.0,3128.0,0.1,99.20599999999999,0.0,0.0,604.65438580513,,,,,,,,,,,,,,,,,,,,,43.78412668110665,28.41278833536684,93.43814161646085,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,3.0,0.0,0.0,274.0,5.0,42.0,3170.0,0.1,26.606000000000016,0.0,0.0,609.5650951862335,,,,,,,,,,,,,,,,,,,,,9.479353900861323,9.04208647769682,26.26036159900023,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,3.0,0.0,0.0,303.0,6.0,29.0,3199.0,0.1,11.207999999999993,0.0,0.0,612.8762402534485,,,,,,,,,,,,,,,,,,,,,2.9795475352859984,3.7461419476507993,11.143869717041072,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,3.0,0.0,0.0,334.0,7.0,31.0,3230.0,0.1,13.205999999999994,0.0,0.0,616.310798406601,,,,,,,,,,,,,,,,,,,,,3.9311032243152337,4.348144063424571,13.110343376455765,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,3.0,0.0,0.0,368.0,8.0,34.0,3264.0,0.1,17.607000000000017,0.0,0.0,620.0748567581177,,,,,,,,,,,,,,,,,,,,,5.535177167224125,6.0105208332290285,17.453693910441356,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,3.0,0.0,0.0,451.0,9.0,83.0,3347.0,0.1,61.90599999999999,0.0,0.0,628.3273794651031,,,,,,,,,,,,,,,,,,,,,26.804798806182905,18.82669079889093,59.80074338511365,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,3.0,0.0,0.0,504.0,10.0,53.0,3400.0,0.1,29.30600000000002,0.0,0.0,633.7888519763947,,,,,,,,,,,,,,,,,,,,,9.864293903791921,9.34226951881631,28.840845272799356,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,3.0,0.0,0.0,530.0,11.0,26.0,3426.0,0.1,11.604999999999995,0.0,0.0,636.7603175640106,,,,,,,,,,,,,,,,,,,,,3.549314814806636,3.9489209603131825,11.535777834706607,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,3.0,0.0,0.0,585.0,12.0,55.0,3481.0,0.1,33.90899999999999,0.0,0.0,642.3649942874908,,,,,,,,,,,,,,,,,,,,,11.442484944002683,11.411920013605299,33.34632262701124,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
